Python[213]: [-2.01619019]
Python[214]: [-2.37893912]
Python[215]: [-2.7187373]
Python[216]: [-2.84447376]
Python[217]: [-2.8938045]
Python[218]: [-2.70890339]
Python[219]: [-2.4389993]
Python[220]: [-2.53569195]
Python[221]: [-2.30309541]
Python[222]: [-2.29261662]
Python[223]: [-3.7061968]
Python[224]: [-2.68178598]
Python[225]: [-2.11548088]
Python[226]: [-2.41154401]
Python[227]: [-2.08242124]
Python[228]: [-2.4585071]
Python[229]: [-2.76039392]
Python[230]: [-2.79835249]
Python[231]: [-4.16632845]
Python[232]: [-5.5165017]
Python[233]: [-3.51515628]
Python[234]: [-3.43086542]
Python[235]: [-3.8856756]
Python[236]: [-4.59329967]
Python[237]: [-5.02818331]
Python[238]: [-3.05005032]
Python[239]: [-3.14566069]
Python[240]: [-2.56614255]
Python[241]: [-2.29130235]
Python[242]: [-2.96774199]
Python[243]: [-3.2399999]
Python[244]: [-4.73142602]
Python[245]: [-3.62169528]
Python[246]: [-3.53901361]
Python[247]: [-3.40499046]
Python[248]: [-3.33410254]
Python[249]: [-3.21334623]
Python[250]: [-2.85251276]
Python[251]: [-3.25746713]
Python[252]: [-2.99271858]
Python[253]: [-2.95447945]
Python[254]: [-2.81128817]
Python[255]: [-2.66040967]
Python[256]: [-4.21986761]
Python[257]: [-3.27739039]
Python[258]: [-2.21487078]
Python[259]: [-2.35520439]
Python[260]: [-2.44044505]
Python[261]: [-2.31881815]
Python[262]: [-2.35305436]
Python[263]: [-2.9370629]
Python[264]: [-4.11063527]
Python[265]: [-4.89349504]
Python[266]: [-4.32555759]
Python[267]: [-4.13370482]
Python[268]: [-4.79260479]
Python[269]: [-4.5131041]
Python[270]: [-4.25163658]
Python[271]: [-4.7324794]
Python[272]: [-4.36670041]
Python[273]: [-3.89035187]
Python[274]: [-4.40651996]
Python[275]: [-3.94936132]
Python[276]: [-4.48683764]
Python[277]: [-4.97350659]
Python[278]: [-4.6143659]
Python[279]: [-4.82288778]
Python[280]: [-4.5196457]
Python[281]: [-4.28439293]
Python[282]: [-3.70443146]
Python[283]: [-3.24668736]
Python[284]: [-4.33753266]
Python[285]: [-3.93768393]
Python[286]: [-3.54205443]
Python[287]: [-3.76507224]
Python[288]: [-2.92910217]
Python[289]: [-3.36115788]
Python[290]: [-4.04474156]
Python[291]: [-3.14059005]
Python[292]: [-3.21918998]
Python[293]: [-3.40379669]
Python[294]: [-3.38486663]
Python[295]: [-3.79677636]
Python[296]: [-3.46942193]
Python[297]: [-4.64544062]
Python[298]: [-3.8184568]
Python[299]: [-4.20140037]
Python[300]: [-4.09519245]
Python[301]: [-4.50317363]
Python[302]: [-5.37632747]
Python[303]: [-4.83636006]
Python[304]: [-3.9065745]
Python[305]: [-4.70538271]
Python[306]: [-4.43515759]
Python[307]: [-5.25975662]
Python[308]: [-4.19358861]
Python[309]: [-5.47300869]
Python[310]: [-4.69149554]
Python[311]: [-3.95438645]
Python[312]: [-4.75971414]
Python[313]: [-3.75466325]
Python[314]: [-4.02505126]
Python[315]: [-3.50851378]
Python[316]: [-3.5559252]
Python[317]: [-4.36659416]
Python[318]: [-4.49659136]
Python[319]: [-3.92567921]
Python[320]: [-3.96822617]
Python[321]: [-3.94495946]
Python[322]: [-4.02239817]
Python[323]: [-3.78484833]
Python[324]: [-4.18632673]
Python[325]: [-3.45681957]
Python[326]: [-3.94244038]
Python[327]: [-4.11883132]
Python[328]: [-3.71986291]
Python[329]: [-3.6328271]
Python[330]: [-4.1152269]
Python[331]: [-4.56125912]
Python[332]: [-4.6435301]
Python[333]: [-4.30484909]
Python[334]: [-4.85555347]
Python[335]: [-4.40378011]
Python[336]: [-3.94505718]
Python[337]: [-3.99148574]
Python[338]: [-5.07929937]
Python[339]: [-4.42687628]
Python[340]: [-5.33372752]
Python[341]: [-4.28728661]
Python[342]: [-4.91431702]
Python[343]: [-4.46012711]
Python[344]: [-4.65127491]
Python[345]: [-5.23588872]
Python[346]: [-3.87786725]
Python[347]: [-4.30321583]
Python[348]: [-3.81322685]
Python[349]: [-3.8161774]
Python[350]: [-4.68839273]
Python[351]: [-4.86283948]
Python[352]: [-4.04716336]
Python[353]: [-3.95619871]
Python[354]: [-5.26010958]
Python[355]: [-4.05095847]
Python[356]: [-3.89352854]
Python[357]: [-4.41036854]
Python[358]: [-3.74183374]
Python[359]: [-3.43990959]
Python[360]: [-3.49919666]
Python[361]: [-4.16460424]
Python[362]: [-4.35338287]
Python[363]: [-4.60841083]
Python[364]: [-4.50841244]
Python[365]: [-5.29661328]
Python[366]: [-4.04825379]
Python[367]: [-3.57580942]
Python[368]: [-4.09974372]
Python[369]: [-4.50353281]
Python[370]: [-4.552898]
Python[371]: [-4.5348866]
Python[372]: [-3.78339634]
Python[373]: [-4.60502235]
Python[374]: [-4.57516761]
Python[375]: [-4.64126481]
Python[376]: [-4.83247853]
Python[377]: [-4.44405644]
Python[378]: [-4.9544444]
Python[379]: [-4.66949624]
Python[380]: [-3.9712165]
Python[381]: [-4.57790603]
Python[382]: [-4.47157259]
Python[383]: [-4.54612791]
Python[384]: [-4.25573449]
Python[385]: [-4.64458517]
Python[386]: [-4.93445888]
Python[387]: [-5.0197469]
Python[388]: [-3.52992439]
Python[389]: [-4.45581904]
Python[390]: [-4.17470096]
Python[391]: [-3.10976905]
Python[392]: [-3.08286225]
Python[393]: [-2.98661735]
Python[394]: [-4.37172846]
Python[395]: [-4.21619457]
Python[396]: [-4.09452549]
Python[397]: [-3.99531611]
Python[398]: [-4.00114696]
Python[399]: [-4.0255265]
Python[400]: [-2.86369212]
Python[401]: [-3.18244497]
Python[402]: [-3.62279978]
Python[403]: [-3.54107134]
Python[404]: [-3.44452666]
Python[405]: [-2.86669608]
Python[406]: [-3.76301931]
Python[407]: [-3.2310899]
Python[408]: [-2.96683719]
Python[409]: [-3.03742455]
Python[410]: [-2.72811225]
Python[411]: [-3.55821354]
Python[412]: [-3.33688258]
Python[413]: [-3.71872902]
Python[414]: [-2.82226476]
Python[415]: [-2.73212674]
Python[416]: [-2.97657265]
Python[417]: [-3.33314168]
Python[418]: [-2.16884886]
Python[419]: [-1.52433047]
Python[420]: [-2.15886297]
Python[421]: [-2.78945344]
Python[422]: [-3.23609627]
Python[423]: [-2.99491084]
Python[424]: [-2.97414333]
Python[425]: [-2.69784109]
Python[426]: [-3.10780286]
Python[427]: [-3.27652798]
Python[428]: [-4.15087061]
Python[429]: [-1.90213046]
Python[430]: [-1.87418561]
Python[431]: [-2.06211013]
Python[432]: [-2.37591112]
Python[433]: [-2.42511151]
Python[434]: [-3.15045498]
Python[435]: [-2.044936]
Python[436]: [-2.25849277]
Python[437]: [-2.10814524]
Python[438]: [-2.08113111]
Python[439]: [-1.93145161]
Python[440]: [-2.75897596]
Python[441]: [-1.68255454]
Python[442]: [-2.04224999]
Python[443]: [-2.5578522]
Python[444]: [-2.56630423]
Python[445]: [-2.45134148]
Python[446]: [-1.8416196]
Python[447]: [-1.94403113]
Python[448]: [-2.11856034]
Python[449]: [-1.60262474]
Python[450]: [-1.35373009]
Python[451]: [-0.87076474]
Python[452]: [-0.39605014]
Python[453]: [-0.9977143]
Python[454]: [-0.78367989]
Python[455]: [-1.49084077]
Python[456]: [-1.78684845]
Python[457]: [-1.46416052]
Python[458]: [-1.43875728]
Python[459]: [-1.51865162]
Python[460]: [-1.52642209]
Python[461]: [-2.74528366]
Python[462]: [-1.30169584]
Python[463]: [-0.96345983]
Python[464]: [-1.18258871]
Python[465]: [-0.8717715]
Python[466]: [-1.59855456]
Python[467]: [-1.22088756]
Python[468]: [-1.49598091]
Python[469]: [-1.54305731]
Python[470]: [-1.56041544]
Python[471]: [-2.18781869]
Python[472]: [-1.99426062]
Python[473]: [-2.05756113]
Python[474]: [-1.09099302]
Python[475]: [-0.90558613]
Python[476]: [-0.64381251]
Python[477]: [-0.96220596]
Python[478]: [-0.9280459]
Python[479]: [-0.98196109]
Python[480]: [-0.62545972]
Python[481]: [-1.37863397]
Python[482]: [-0.93312277]
Python[483]: [-1.90465163]
Python[484]: [-0.975199]
Python[485]: [-0.93212667]
Python[486]: [-1.53874017]
Python[487]: [-1.11958385]
Python[488]: [-1.38701623]
Python[489]: [-1.26049399]
Python[490]: [-1.03429379]
Python[491]: [-0.38891087]
Python[492]: [-0.59130395]
Python[493]: [-0.47228247]
Python[494]: [-1.46397585]
Count frame people: 0
