Python[0]: [-4.13381797]
Python[1]: [-5.82069087]
Python[2]: [-4.63951359]
Python[3]: [-2.89612296]
Python[4]: [-2.55365207]
Python[5]: [-0.82683779]
Python[6]: [-2.93903341]
Python[7]: [-4.54626037]
Python[8]: [-4.89854941]
Python[9]: [-5.70014137]
Python[10]: [-4.74525589]
Python[11]: [-4.11833601]
Python[12]: [-3.94437106]
Python[13]: [-4.55997562]
Python[14]: [-6.65172433]
Python[15]: [-5.31744653]
Python[16]: [-3.57409918]
Python[17]: [-3.95986083]
Python[18]: [-4.78129126]
Python[19]: [-2.63641337]
Python[20]: [1.02975323]
Python[21]: [-0.44155295]
Python[22]: [-1.18790173]
Python[23]: [-3.54822386]
Python[24]: [-3.87308512]
Python[25]: [-4.20001693]
Python[26]: [-4.92770117]
Python[27]: [-3.11984306]
Python[28]: [-4.66960131]
Python[29]: [-3.89129664]
Python[30]: [-2.92707085]
Python[31]: [-4.19354113]
Python[32]: [-2.66434033]
Python[33]: [-4.53054116]
Python[34]: [-5.41606628]
Python[35]: [-2.92050868]
Python[36]: [-2.02813383]
Python[37]: [-0.49128541]
Python[38]: [1.85132695]
Python[39]: [-2.54980815]
Python[40]: [-2.78430337]
Python[41]: [-3.86268921]
Python[42]: [-5.97584112]
Python[43]: [-4.29412741]
Python[44]: [-4.48592867]
Python[45]: [-4.35829176]
Python[46]: [-4.2402182]
Python[47]: [-5.36047165]
Python[48]: [-4.05228566]
Python[49]: [-2.16253457]
Python[50]: [-3.5509977]
Python[51]: [-3.99076403]
Python[52]: [-2.77398374]
Python[53]: [1.75349946]
Python[54]: [1.32890015]
Python[55]: [-0.38513445]
Python[56]: [-2.14540728]
Python[57]: [-1.35667167]
Python[58]: [-3.1570033]
Python[59]: [-5.19132076]
Python[60]: [-5.65218281]
Python[61]: [-4.66577123]
Python[62]: [0.515368]
Python[63]: [-1.33283888]
Python[64]: [-2.9784496]
Python[65]: [-2.91066618]
Python[66]: [-5.90661415]
Python[67]: [-6.28518188]
Python[68]: [-4.26673038]
Python[69]: [-1.49504267]
Python[70]: [0.40596339]
Python[71]: [-1.16776884]
Python[72]: [-1.87427109]
Python[73]: [-2.17290666]
Python[74]: [-2.96918738]
Python[75]: [-5.19955531]
Python[76]: [-5.45313136]
Python[77]: [-4.13038161]
Python[78]: [-4.94160883]
Python[79]: [-5.19707386]
Python[80]: [-6.26310671]
Python[81]: [-4.27165079]
Python[82]: [-2.5686227]
Python[83]: [-5.39755341]
Python[84]: [-6.14017947]
Python[85]: [-4.13677192]
Python[86]: [-2.43291726]
Python[87]: [-0.5787021]
Python[88]: [-2.0442782]
Python[89]: [-3.03355176]
Python[90]: [-4.85539462]
Python[91]: [-6.05438089]
Python[92]: [-3.96316172]
Python[93]: [-2.36374426]
Python[94]: [-3.46051066]
Python[95]: [-1.04248319]
Python[96]: [-1.43044137]
Python[97]: [-3.1879909]
Python[98]: [-5.57341704]
Python[99]: [-5.52330986]
Python[100]: [-2.5672235]
Python[101]: [-1.83583087]
Python[102]: [-1.00435837]
Python[103]: [-1.24588933]
Python[104]: [-2.91541158]
Python[105]: [-3.23761465]
Python[106]: [-2.10092184]
Python[107]: [-1.02931229]
Python[108]: [-3.78113597]
Python[109]: [-6.43581939]
Python[110]: [-5.51885898]
Python[111]: [-5.36356606]
Python[112]: [-7.59172079]
Python[113]: [-6.23421753]
Python[114]: [-5.22386788]
Python[115]: [-4.75208359]
Python[116]: [-4.9902638]
Python[117]: [-6.07738889]
Python[118]: [-5.85195249]
Python[119]: [-4.22980309]
Python[120]: [-4.23194092]
Python[121]: [-4.20775188]
Python[122]: [-5.32621013]
Python[123]: [-4.48040387]
Python[124]: [-4.4098919]
Python[125]: [-1.95294549]
Python[126]: [-0.03182852]
Python[127]: [-1.34730456]
Python[128]: [-0.17468292]
Python[129]: [-1.10579908]
Python[130]: [-3.75867722]
Python[131]: [-5.67322262]
Python[132]: [-4.12507536]
