Python[213]: [-1.91694041]
Python[214]: [-2.58977446]
Python[215]: [-1.41112024]
Python[216]: [-1.26039112]
Python[217]: [-1.88975157]
Python[218]: [-1.15240353]
Python[219]: [-1.2380962]
Python[220]: [-1.84320151]
Python[221]: [-2.14231336]
Python[222]: [-2.09129262]
Python[223]: [-2.22451224]
Python[224]: [-2.50624618]
Python[225]: [-2.38304761]
Python[226]: [-2.05441328]
Python[227]: [-1.8301159]
Python[228]: [-2.07174651]
Python[229]: [-2.62959862]
Python[230]: [-2.32255519]
Python[231]: [-0.89343744]
Python[232]: [-2.94627681]
Python[233]: [-3.23037542]
Python[234]: [-2.07871529]
Python[235]: [-2.55759737]
Python[236]: [-1.08546667]
Python[237]: [-1.56154351]
Python[238]: [-2.54127385]
Python[239]: [-0.92595614]
Python[240]: [-2.122962]
Python[241]: [-2.31789999]
Python[242]: [-1.32062845]
Python[243]: [-1.99529776]
Python[244]: [-1.98924281]
Python[245]: [-1.85878398]
Python[246]: [-3.4274866]
Python[247]: [-2.80384799]
Python[248]: [-2.69137663]
Python[249]: [-1.60831709]
Python[250]: [-2.61317075]
Python[251]: [-2.28605064]
Python[252]: [-1.3861121]
Python[253]: [-2.621127]
Python[254]: [-2.91975319]
Python[255]: [-2.431376]
Python[256]: [-2.61566994]
Python[257]: [-1.49196225]
Python[258]: [-2.44181551]
Python[259]: [-2.74192937]
Python[260]: [-1.98194862]
Python[261]: [-2.52870098]
Python[262]: [-2.00061717]
Python[263]: [-2.27496829]
Python[264]: [-1.66485755]
Python[265]: [-2.96160311]
Python[266]: [-3.54459836]
Python[267]: [-1.83261527]
Python[268]: [-2.63273641]
Python[269]: [-2.85973656]
Python[270]: [-3.07291124]
Python[271]: [-2.79331961]
Python[272]: [-1.3396982]
Python[273]: [-2.17558639]
Python[274]: [-1.20637704]
Python[275]: [-1.29812338]
Python[276]: [-3.2268914]
Python[277]: [-2.89036367]
Python[278]: [-3.42661886]
Python[279]: [-3.6820624]
Python[280]: [-3.21186211]
Python[281]: [-1.80849249]
Python[282]: [-1.99117248]
Python[283]: [-1.80737598]
Python[284]: [-1.38207795]
Python[285]: [-0.63079121]
Python[286]: [-1.59455067]
Python[287]: [-2.13876988]
Python[288]: [-2.50647621]
Python[289]: [-2.67092889]
Python[290]: [-1.90430958]
Python[291]: [-2.02716185]
Python[292]: [-3.15529178]
Python[293]: [-2.57761633]
Python[294]: [-2.27736212]
Python[295]: [-2.68375831]
Python[296]: [-0.93572824]
Python[297]: [-1.84166667]
Python[298]: [-2.67830156]
Python[299]: [-3.34214792]
Python[300]: [-2.20465585]
Python[301]: [-2.16431852]
Python[302]: [-2.74696833]
Python[303]: [-2.69053637]
Python[304]: [-2.76196322]
Python[305]: [-1.48222117]
Python[306]: [-1.66460518]
Python[307]: [-1.21774664]
Python[308]: [-2.66211228]
Python[309]: [-3.69212403]
Python[310]: [-4.19729339]
Python[311]: [-4.46296702]
Python[312]: [-4.30445248]
Python[313]: [-4.00216592]
Python[314]: [-4.50907151]
Python[315]: [-3.82960492]
Python[316]: [-3.03872286]
Python[317]: [-3.01674801]
Python[318]: [-1.58974781]
Python[319]: [-2.24867323]
Python[320]: [-1.82445393]
Python[321]: [-2.15704421]
Python[322]: [-3.66371033]
Python[323]: [-1.76730684]
Python[324]: [-3.36824604]
Python[325]: [-3.31958693]
Python[326]: [-2.31597737]
Python[327]: [-2.96896958]
Python[328]: [-2.49017094]
Python[329]: [-0.28639783]
Python[330]: [-2.67782211]
Python[331]: [-2.94316964]
Python[332]: [-3.72785293]
Python[333]: [-2.56249399]
Python[334]: [-2.48519632]
Python[335]: [-2.75193906]
Python[336]: [-3.04154759]
Python[337]: [-2.43929045]
Python[338]: [-1.88401597]
Python[339]: [-1.95585329]
Python[340]: [-0.92246925]
Python[341]: [-2.68072616]
Python[342]: [-4.2389937]
Python[343]: [-4.53931492]
Python[344]: [-5.19877515]
Python[345]: [-4.63470548]
Python[346]: [-5.52266222]
Python[347]: [-5.10421141]
Python[348]: [-5.08497902]
Python[349]: [-2.4848003]
Python[350]: [-3.72652354]
Python[351]: [-2.55038528]
Python[352]: [-2.66583296]
Python[353]: [-1.73633626]
Python[354]: [-1.51493938]
Python[355]: [-2.84212938]
Python[356]: [-1.42695672]
Python[357]: [-2.70567745]
Python[358]: [-3.33022918]
Python[359]: [-2.17701654]
Python[360]: [-2.67340858]
Python[361]: [-2.94875157]
Python[362]: [-1.52477528]
Python[363]: [-2.19346029]
Python[364]: [-2.87071034]
Python[365]: [-4.05532359]
Python[366]: [-2.51944956]
Python[367]: [-2.87229868]
Python[368]: [-2.42557008]
Python[369]: [-3.082662]
Python[370]: [-2.03566845]
Python[371]: [-0.72648685]
Python[372]: [-2.33731041]
Python[373]: [-2.87280454]
Python[374]: [-4.58040251]
Python[375]: [-2.85894558]
Python[376]: [-4.20616035]
Python[377]: [-4.25482354]
Python[378]: [-3.96131559]
Python[379]: [-5.0701768]
Python[380]: [-4.17021983]
Python[381]: [-5.1620995]
Python[382]: [-4.37970852]
Python[383]: [-5.65779914]
Python[384]: [-3.6293347]
Python[385]: [-2.41962555]
Python[386]: [-2.02132647]
Python[387]: [-3.49971793]
Python[388]: [-2.73661207]
Python[389]: [-1.91876217]
Python[390]: [-3.69782161]
Python[391]: [-3.22675987]
Python[392]: [-2.96928712]
Python[393]: [-2.74593854]
Python[394]: [-3.29528122]
Python[395]: [-3.13866752]
Python[396]: [-1.32843224]
Python[397]: [-3.78410661]
Python[398]: [-4.3169508]
Python[399]: [-3.26701506]
Python[400]: [-2.02734853]
Python[401]: [-2.5711802]
Python[402]: [-3.55582127]
Python[403]: [-2.74023652]
Python[404]: [-1.79506602]
Python[405]: [-3.19993274]
Python[406]: [-3.2763606]
Python[407]: [-3.84213431]
Python[408]: [-2.62129482]
Python[409]: [-2.32712169]
Python[410]: [-3.51856754]
Python[411]: [-3.00427618]
Python[412]: [-3.71949948]
Python[413]: [-2.99130835]
Python[414]: [-3.49106731]
Python[415]: [-3.7526669]
Python[416]: [-4.24998423]
Python[417]: [-3.38672302]
Python[418]: [-1.62184256]
Python[419]: [-2.00138172]
Python[420]: [-2.85077584]
Python[421]: [-2.39165354]
Python[422]: [-1.91127069]
Python[423]: [-2.74704373]
Python[424]: [-2.34955706]
Python[425]: [-2.55015621]
Python[426]: [-3.62287129]
Python[427]: [-3.475866]
Python[428]: [-3.84261372]
Python[429]: [-4.22236838]
Python[430]: [-4.68647011]
Python[431]: [-3.62680499]
Python[432]: [-3.57377546]
Python[433]: [-2.95360855]
Python[434]: [-3.32698997]
Python[435]: [-4.21271542]
Python[436]: [-2.14503137]
Python[437]: [-2.62379207]
Python[438]: [-2.18428789]
Python[439]: [-3.24458416]
Python[440]: [-4.14668809]
Python[441]: [-3.66689168]
Python[442]: [-4.09237865]
Python[443]: [-2.94212908]
Python[444]: [-2.95232044]
Python[445]: [-3.73198206]
Python[446]: [-4.1086096]
Python[447]: [-4.52034931]
Python[448]: [-3.55575525]
Python[449]: [-4.11333107]
Python[450]: [-3.86404483]
Python[451]: [-3.01615291]
Python[452]: [-3.08566226]
Python[453]: [-3.36034403]
Python[454]: [-3.22346282]
Python[455]: [-3.49553421]
Python[456]: [-2.05086705]
Python[457]: [-2.75352739]
Python[458]: [-3.17943934]
Python[459]: [-2.17180745]
Python[460]: [-2.00287091]
Python[461]: [-3.54926778]
Python[462]: [-4.30155347]
Python[463]: [-4.412766]
Python[464]: [-4.25227972]
Python[465]: [-4.54789125]
Python[466]: [-3.66095163]
Python[467]: [-3.47788313]
Python[468]: [-3.15496742]
Python[469]: [-3.90370213]
Python[470]: [-3.22216306]
Python[471]: [-2.04185611]
Python[472]: [-2.94667845]
Python[473]: [-3.55783617]
Python[474]: [-3.04597907]
Python[475]: [-2.71034802]
Python[476]: [-1.80931686]
Python[477]: [-3.44561396]
Python[478]: [-4.2784764]
Python[479]: [-3.15111441]
Python[480]: [-3.89392723]
Python[481]: [-2.55133797]
Python[482]: [-4.22445627]
Python[483]: [-4.8747098]
Python[484]: [-1.82056839]
Python[485]: [-2.48385479]
Python[486]: [-3.50958271]
Python[487]: [-2.64860006]
Python[488]: [-3.31156004]
Python[489]: [-2.5375607]
Python[490]: [-1.90050568]
Python[491]: [-1.45324989]
Python[492]: [-1.56539808]
Python[493]: [-1.57236945]
Python[494]: [-3.12919978]
Count frame people: 0
